Equipo,Grupo,Escudo,Portero1,Portero2,JC1,JC2,JC3,JC4,JC5,JC6,JC7,JC8,JC9,JC10,JC11,JC12,JC13,JC14,JC15,JC16
QAT,A,1,1,2,2,1,1,1,2,1,3,0,1,0,2,1,2,1,1,1
ECU,A,2,0,1,2,1,2,2,0,1,2,0,2,3,0,0,3,0,2,2
SEN,A,1,2,1,1,2,2,2,1,0,3,1,1,2,0,3,0,1,1,1
NED,A,1,0,2,1,1,1,0,0,2,0,0,2,0,3,0,2,0,2,1
ENG,B,2,2,0,0,1,0,1,1,0,2,0,2,0,1,2,0,2,0,0
IRN,B,0,0,2,1,0,2,0,1,1,1,2,0,0,2,0,0,3,1,0
USA,B,0,2,1,2,1,0,1,0,1,0,1,0,1,0,1,0,2,0,1
WAL,B,0,0,0,0,1,1,1,0,2,0,1,1,0,1,0,2,1,2,0
ARG,C,1,0,2,0,3,0,1,1,0,1,0,1,0,0,1,0,1,0,1
KSA,C,3,2,1,0,1,0,1,0,1,0,1,0,1,1,0,3,0,2,1
MEX,C,0,0,1,1,0,1,0,2,0,2,0,1,0,2,0,1,1,2,0
POL,C,0,1,0,0,2,0,1,0,1,0,1,0,3,0,1,0,1,1,1
FRA,D,0,0,1,1,0,2,1,0,1,0,1,0,1,3,0,1,1,0,1
AUS,D,1,1,3,0,2,1,1,0,1,0,1,1,2,0,0,1,0,1,2
DEN,D,1,2,3,0,0,0,2,0,1,0,0,1,0,1,1,0,0,1,0
TUN,D,0,0,0,4,1,0,2,2,0,2,0,0,0,1,0,1,1,1,0
ESP,E,1,1,2,2,1,0,2,0,0,0,2,0,0,2,0,1,0,0,0
CRC,E,0,1,0,2,0,2,1,0,1,3,0,0,2,0,1,0,3,0,1
GER,E,2,0,1,1,0,1,1,1,0,1,0,2,0,1,0,1,0,1,0
JPN,E,0,2,2,0,3,1,1,3,0,0,1,0,3,0,4,0,1,1,0
BEL,F,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,2,1
CAN,F,2,2,2,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0
MAR,F,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,0,0
CRO,F,0,1,0,0,1,0,0,1,0,0,1,0,3,0,0,2,0,1,2
BRA,G,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SRB,G,0,1,0,2,0,1,1,1,0,1,0,2,1,0,2,0,1,0,1
SUI,G,0,1,0,0,2,0,0,1,0,1,1,1,0,1,0,1,0,1,0
CMR,G,1,0,0,0,2,1,0,1,0,0,2,0,0,1,1,3,1,0,1
POR,H,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0
GHA,H,1,1,2,0,2,0,1,0,1,1,0,0,0,0,0,1,0,1,2
URU,H,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,1,0,0
KOR,H,1,0,2,0,2,0,1,1,0,1,0,2,0,1,1,1,0,2,3
